Item ID,Countries,Language,Item title,Issue title,Severity,Source,Channel,Product type,Custom label 0,Custom label 1,Custom label 2,Custom label 3,Custom label 4,Category,Additional information
shopify_US_7687412416703_43059589710015,US,en,Wind Down Kit - Terra Health Essentials 60 Day Supply - OTP,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
shopify_US_7687412416703_43059589808319,US,en,Wind Down Kit - Terra Health Essentials 60 Day Supply - SUB,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
shopify_US_7687412416703_43059589775551,US,en,Wind Down Kit - Terra Health Essentials 30 Day Supply - SUB,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
shopify_US_7687412416703_43059589841087,US,en,Wind Down Kit - Terra Health Essentials 90 Day Supply - SUB,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
shopify_US_7687412416703_43059589677247,US,en,Wind Down Kit - Terra Health Essentials 30 Day Supply - OTP,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
shopify_US_7687412416703_43059589742783,US,en,Wind Down Kit - Terra Health Essentials 90 Day Supply - OTP,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
shopify_US_7687412416703_43459596386495,US,en,Wind Down Kit - Terra Health Essentials 31 Day Supply - SUB,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
shopify_US_7687412416703_43459596353727,US,en,Wind Down Kit - Terra Health Essentials 31 Day Supply - OTP,Invalid value [condition],WARNING,Shopify App API,online,Kits,terra_wind_down_kit,,,,,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,
